keyword,video_id,title,channel,published,views,likes,comments,trend_score
DIY home UK,bw0Cy2LZLi8,How To Cut Vinyl Tiles (No Measuring) #asmr #diy #shorts,The Home Improvements Channel UK,2024-06-24,57524083,1338315,3743,5.4
DIY home UK,yWDiMquNnzw,DIY walkway that anyone can do.. #diy,UncleJhonn,2024-11-18,72587362,2717372,36279,6.31
DIY home UK,5o5WBBU9zHQ,PART ONE!!!!! #diyhome #diy #diyproject #frontporch #homediyproject,Kylie Katich,2024-10-03,64634011,2537408,4939,6.36
DIY home UK,g7p7VnuHucQ,Easy way to fix rotten trim boards. #remodel #construction #contractor #diy #carpenter,CR Carpentry & Remodeling ,2025-07-04,85994090,1051114,8732,4.75
DIY home UK,9N25hsDUlqE,HOW TO CUT VINYL FLOORING (Toilet WC) #diy #vinyl #howto #shorts,The Home Improvements Channel UK,2025-02-04,57665365,833939,3803,4.88
DIY home UK,DNrgHotJD28,Building a $600 walkway.. Working with Unc..#walkway #pathway #DIY,UncleJhonn,2024-11-15,53922663,1606744,16576,5.82
DIY home UK,iluofe-6WvE,can you paint ceiling lights? #diy,mo mahal,2024-10-26,44407535,1819880,4794,6.47
DIY home UK,StaVM2PifyA,CUTTING IN LIKE A PRO #paintwarrior #youtube #ytshorts #viral #tips,Paint_warrior,2024-01-25,47396694,909618,11290,5.18
