keyword,video_id,title,channel,published,views,likes,comments,trend_score
furniture flip UK,UTVYCFKSCwk,"Another day, another bespoke footstool ✨ #upholstery #footstool",Pucci Upholstery,2025-07-08,24770720,562134,3901,5.38
furniture flip UK,EaE2kREYNXI,Watch this paint just fall off 🤤,Refurbishedish,2024-05-10,9053849,868494,8362,9.87
furniture flip UK,onp4iig_pls,My favorite furniture flip yet??? Come back tomorrow and we’ll do the inside!! 💕,Kylie Katich,2024-09-23,8188085,447134,1181,7.29
furniture flip UK,2LXW6Y_v8xs,EXTREME furniture RESTORATION,Upcycle Furniture Finds,2025-05-20,8012468,213173,3051,5.64
furniture flip UK,8qlXAVKXoow,This IKEA hack changed my life! 🤯#DixiebellePartner #ikeahack #ikea #furniture #easydiy,THE FLIPPED PIECE,2024-07-17,3915395,0,1820,4.06
furniture flip UK,-bAO7HmSSiY,This Paint Stripping Hack Will Save You HOURS of Work!,Redesign by Bre,2025-02-04,5488519,42605,450,4.48
furniture flip UK,pXC8E14DfXY,Turning my $60 dresser into an entire mortgage payment! A full MCM restoration #furnitureflip,thefurnituredr by lilly ,2024-02-15,3714495,190084,2973,7.17
furniture flip UK,VCU4SQmIonQ,The brilliant new way people are using Walmart storage cubes in their bedrooms,Hometalk,2024-03-08,2969526,0,468,4.02
